City,Country,Date,Latitude,Longitude,Temp,Humidity,Max Temp,Cloudiness,Wind Speed
Yellowknife,CA,1579738296,62.46,-114.35,5.0,84,5.0,90,10.29
Kununurra,AU,1579738841,-15.77,128.73,84.2,74,84.2,85,9.35
Chokurdakh,RU,1579738308,70.63,147.92,-20.96,97,-20.96,100,8.68
Patnongon,PH,1579738841,10.91,121.99,77.36,69,77.36,0,6.82
Jamestown,US,1579738202,42.1,-79.24,26.38,53,32.0,1,9.17
Chui,UY,1579738180,-33.7,-53.46,70.2,81,70.2,0,9.53
Te Anau,NZ,1579738584,-45.42,167.72,61.7,72,61.7,8,7.14
Hermanus,ZA,1579738841,-34.42,19.23,66.13,86,70.0,0,5.99
East London,ZA,1579738841,-33.02,27.91,70.52,77,70.52,100,10.09
Bambous Virieux,MU,1579738841,-20.34,57.76,78.89,94,79.0,75,10.29
Maragogi,BR,1579738638,-9.01,-35.22,82.08,81,82.08,98,16.51
Los Llanos de Aridane,ES,1579738841,28.66,-17.92,59.07,51,60.8,20,8.05
Oranjestad,AW,1579738842,12.52,-70.03,80.6,74,80.6,20,10.29
Innisfail,AU,1579738842,-17.53,146.03,82.0,70,82.0,68,3.0
Codrington,AU,1579738189,-38.27,141.97,59.27,70,59.27,99,34.56
Kapaa,US,1579738842,22.08,-159.32,79.43,65,80.6,1,10.29
Longyearbyen,SJ,1579738359,78.22,15.64,-0.4,59,-0.4,0,14.99
Oxford,GB,1579738842,51.75,-1.26,43.79,93,45.0,74,4.7
Blechepsin,RU,1579738842,44.82,40.5,41.79,74,41.79,97,25.84
Kiama,AU,1579738842,-34.68,150.87,95.7,10,100.0,72,20.8
Geraldton,AU,1579738003,-28.77,114.6,68.0,72,68.0,0,16.11
Upernavik,GL,1579738842,72.79,-56.15,0.59,93,0.59,100,8.25
Vila do Maio,CV,1579738843,15.13,-23.22,71.6,78,71.6,79,17.22
Qaanaaq,GL,1579738506,77.48,-69.36,-10.16,50,-10.16,11,7.14
Arraial do Cabo,BR,1579738615,-22.97,-42.03,78.8,78,78.8,20,6.93
Ushuaia,AR,1579738621,-54.8,-68.3,53.6,58,53.6,75,2.37
Lebu,CL,1579738691,-37.62,-73.65,61.11,74,61.11,0,5.91
Bonfim,BR,1579738843,3.08,-59.95,83.35,49,83.35,68,5.61
Mataura,NZ,1579738292,-46.19,168.86,64.0,74,64.0,93,15.01
Busselton,AU,1579738565,-33.65,115.33,67.21,44,71.01,76,9.75
Brookings,US,1579738843,44.31,-96.8,32.65,100,35.6,90,4.18
North Bend,US,1579738843,43.41,-124.22,52.84,76,55.4,90,17.22
Quirinopolis,BR,1579738843,-18.45,-50.45,74.43,91,74.43,100,4.29
Fria,GN,1579738843,10.42,-13.58,69.39,69,69.39,67,2.13
Albany,US,1579738843,42.6,-73.97,23.02,63,28.4,1,2.04
Lanxi,CN,1579738844,29.22,119.48,51.01,99,51.01,66,3.78
The Valley,AI,1579738844,18.22,-63.06,78.04,74,78.8,20,9.17
Vestmannaeyjar,IS,1579738754,63.44,-20.27,36.14,68,36.14,100,42.7
Changji,CN,1579738844,44.02,87.32,8.6,84,8.6,82,1.77
Port Lincoln,AU,1579738844,-34.73,135.87,62.96,45,62.96,63,21.16
Pisco,PE,1579738844,-13.7,-76.22,74.26,78,75.2,90,3.36
Rikitea,PF,1579738844,-23.12,-134.97,79.27,75,79.27,51,11.61
Klaksvik,FO,1579738844,62.23,-6.59,46.4,100,46.4,100,8.05
Punta Arenas,CL,1579738617,-53.15,-70.92,50.79,71,51.8,100,12.75
Iqaluit,CA,1579738422,63.75,-68.51,-18.22,68,-18.0,75,2.19
Alberton,CA,1579738844,46.82,-64.07,16.0,46,16.0,0,12.75
Biak,ID,1579738905,-0.91,122.88,81.19,73,81.19,100,5.3
Batemans Bay,AU,1579738908,-35.72,150.18,89.96,54,96.01,100,10.0
Owensboro,US,1579738732,37.77,-87.11,33.4,59,35.01,1,5.82
Hilo,US,1579738908,19.73,-155.09,74.95,54,80.6,1,14.99
Meulaboh,ID,1579738147,4.14,96.13,80.78,80,80.78,0,7.0
Salinopolis,BR,1579738908,-0.61,-47.36,81.3,79,81.3,75,19.15
Lompoc,US,1579738209,34.64,-120.46,61.5,100,69.01,90,10.29
Daru,PG,1579738908,-9.08,143.21,88.95,55,88.95,49,2.91
Barrow,US,1579738908,71.29,-156.79,-2.2,77,-2.2,40,10.29
Marzuq,YE,1579738909,14.4,46.47,55.83,83,55.83,0,4.76
Maloy,NO,1579738909,61.94,5.11,41.36,93,46.0,100,14.99
Isangel,VU,1579738339,-19.55,169.27,80.6,78,80.6,90,3.36
Butaritari,KI,1579738909,3.07,172.79,84.63,63,84.63,63,4.41
Bredasdorp,ZA,1579738909,-34.53,20.04,61.93,87,63.0,0,4.7
Margate,GB,1579738689,51.38,1.39,43.79,100,46.4,75,2.24
Vaini,TO,1579738909,-21.2,-175.2,80.6,83,80.6,75,11.41
Saskylakh,RU,1579738909,71.92,114.08,-39.75,94,-39.75,0,8.34
Tiksi,RU,1579738360,71.69,128.87,-27.42,87,-27.42,65,4.65
Conde,BR,1579738909,-7.26,-34.91,80.6,88,80.6,40,4.7
Kaitangata,NZ,1579738910,-46.28,169.85,58.08,79,58.08,43,16.22
Rapid City,US,1579738904,44.08,-103.23,35.69,74,39.99,90,17.22
George Town,MY,1579738554,5.41,100.34,77.86,78,78.8,20,4.7
Avarua,CK,1579738249,-21.21,-159.78,78.8,94,78.8,100,8.05
Cherkasskoye,RU,1579738910,52.43,47.22,19.17,92,19.17,87,5.75
Tanout,NE,1579738910,14.97,8.89,63.72,15,63.72,72,13.94
Cairns,AU,1579738878,-16.92,145.77,87.4,66,91.0,40,6.93
Miragoane,HT,1579738910,18.44,-73.09,78.75,70,78.75,24,6.06
Ponta do Sol,PT,1579738910,32.67,-17.1,54.93,58,59.0,20,8.05
Najran,SA,1579738491,17.49,44.13,64.4,36,64.4,44,2.24
Gloucester,GB,1579738842,51.87,-2.24,44.73,100,46.99,90,3.36
Srednekolymsk,RU,1579738911,67.45,153.68,-33.2,97,-33.2,78,7.2
Asind,IN,1579738911,25.73,74.33,49.64,56,49.64,69,6.31
Arroyo de la Encomienda,ES,1579738628,41.61,-4.8,35.47,90,37.99,0,11.41
Pevek,RU,1579738426,69.7,170.31,-17.23,99,-17.23,100,3.6
Carballo,ES,1579738911,43.21,-8.69,48.33,100,51.01,40,1.12
Hobart,AU,1579738714,-42.88,147.33,59.09,82,61.0,75,5.82
Manzanillo,CU,1579738911,20.34,-77.12,62.56,62,62.56,60,9.73
